fecha,fecha_extraccion,departamento,precio_chacra,precio_mayorista,diferencia_en_soles,porcentaje,producto,categoria,fuente,ibc_pct,zscore,flag_outlier
2024-01-07,2026-04-29 20:30:00,CUSCO,1.87,2.74,0.87,46.52,Choclo,CHOCLO PARDO,manual_upload,46.52,1.18,False
2024-01-14,2026-04-29 20:30:00,CUSCO,2.45,3.53,1.08,44.08,Choclo,CHOCLO PARDO,manual_upload,44.08,0.39,False
2024-01-21,2026-04-29 20:30:00,CUSCO,2.23,3.25,1.02,45.74,Choclo,CHOCLO PARDO,manual_upload,45.74,0.88,False
2024-01-28,2026-04-29 20:30:00,CUSCO,2.1,2.57,0.47,22.38,Choclo,CHOCLO PARDO,manual_upload,22.38,0.01,False
2024-02-04,2026-04-29 20:30:00,CUSCO,1.66,2.76,1.1,66.27,Choclo,CHOCLO PARDO,manual_upload,66.27,0.23,False
2024-02-11,2026-04-29 20:30:00,CUSCO,1.66,2.45,0.79,47.59,Choclo,CHOCLO PARDO,manual_upload,47.59,-0.02,False
2024-02-18,2026-04-29 20:30:00,CUSCO,1.56,2.59,1.03,66.03,Choclo,CHOCLO PARDO,manual_upload,66.03,-0.91,False
2024-02-25,2026-04-29 20:30:00,CUSCO,2.37,3.48,1.11,46.84,Choclo,CHOCLO PARDO,manual_upload,46.84,0.67,False
2024-03-03,2026-04-29 20:30:00,CUSCO,2.1,2.69,0.59,28.1,Choclo,CHOCLO PARDO,manual_upload,28.1,-0.66,False
2024-03-10,2026-04-29 20:30:00,CUSCO,2.21,2.61,0.4,18.1,Choclo,CHOCLO PARDO,manual_upload,18.1,-1.43,False
2024-03-17,2026-04-29 20:30:00,CUSCO,1.52,2.03,0.51,33.55,Choclo,CHOCLO PARDO,manual_upload,33.55,0.44,False
2024-03-24,2026-04-29 20:30:00,CUSCO,2.47,3.15,0.68,27.53,Choclo,CHOCLO PARDO,manual_upload,27.53,-0.97,False
2024-03-31,2026-04-29 20:30:00,CUSCO,2.33,3.37,1.04,44.64,Choclo,CHOCLO PARDO,manual_upload,44.64,1.32,False
2024-04-07,2026-04-29 20:30:00,CUSCO,1.71,2.78,1.07,62.57,Choclo,CHOCLO PARDO,manual_upload,62.57,1.36,False
2024-04-14,2026-04-29 20:30:00,CUSCO,1.68,1.99,0.31,18.45,Choclo,CHOCLO PARDO,manual_upload,18.45,1.24,False
2024-04-21,2026-04-29 20:30:00,CUSCO,1.68,2.44,0.76,45.24,Choclo,CHOCLO PARDO,manual_upload,45.24,-0.39,False
2024-04-28,2026-04-29 20:30:00,CUSCO,1.8,2.48,0.68,37.78,Choclo,CHOCLO PARDO,manual_upload,37.78,-1.45,False
2024-05-05,2026-04-29 20:30:00,CUSCO,2.02,2.52,0.5,24.75,Choclo,CHOCLO PARDO,manual_upload,24.75,1.28,False
2024-05-12,2026-04-29 20:30:00,CUSCO,1.93,2.34,0.41,21.24,Choclo,CHOCLO PARDO,manual_upload,21.24,-0.22,False
2024-05-19,2026-04-29 20:30:00,CUSCO,1.79,2.39,0.6,33.52,Choclo,CHOCLO PARDO,manual_upload,33.52,1.4,False
2024-05-26,2026-04-29 20:30:00,CUSCO,2.11,3.26,1.15,54.5,Choclo,CHOCLO PARDO,manual_upload,54.5,1.39,False
