fecha,fecha_extraccion,departamento,precio_chacra,precio_mayorista,diferencia_en_soles,porcentaje,producto,categoria,fuente,ibc_pct,zscore,flag_outlier
2024-01-07,2026-04-29 20:30:00,LIMA,2.01,2.32,0.31,15.42,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,15.42,0.04,False
2024-01-14,2026-04-29 20:30:00,LIMA,2.32,3.04,0.72,31.03,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,31.03,0.85,False
2024-01-21,2026-04-29 20:30:00,LIMA,2.28,2.63,0.35,15.35,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,15.35,-0.31,False
2024-01-28,2026-04-29 20:30:00,LIMA,2.54,2.95,0.41,16.14,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,16.14,0.37,False
2024-02-04,2026-04-29 20:30:00,LIMA,2.56,2.97,0.41,16.02,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,16.02,1.09,False
2024-02-11,2026-04-29 20:30:00,LIMA,1.85,2.73,0.88,47.57,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,47.57,1.35,False
2024-02-18,2026-04-29 20:30:00,LIMA,2.25,3.22,0.97,43.11,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,43.11,-1.06,False
2024-02-25,2026-04-29 20:30:00,LIMA,2.55,3.38,0.83,32.55,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,32.55,1.28,False
2024-03-03,2026-04-29 20:30:00,LIMA,2.4,3.57,1.17,48.75,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,48.75,-0.02,False
2024-03-10,2026-04-29 20:30:00,LIMA,2.83,3.47,0.64,22.61,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,22.61,-0.73,False
2024-03-17,2026-04-29 20:30:00,LIMA,2.59,3.15,0.56,21.62,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,21.62,-0.12,False
2024-03-24,2026-04-29 20:30:00,LIMA,2.0,3.08,1.08,54.0,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,54.0,1.44,False
2024-03-31,2026-04-29 20:30:00,LIMA,1.88,2.38,0.5,26.6,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,26.6,-0.02,False
2024-04-07,2026-04-29 20:30:00,LIMA,2.57,3.74,1.17,45.53,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,45.53,-0.51,False
2024-04-14,2026-04-29 20:30:00,LIMA,1.83,2.14,0.31,16.94,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,16.94,0.4,False
2024-04-21,2026-04-29 20:30:00,LIMA,2.5,3.67,1.17,46.8,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,46.8,-0.78,False
2024-04-28,2026-04-29 20:30:00,LIMA,2.93,3.27,0.34,11.6,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,11.6,-1.27,False
2024-05-05,2026-04-29 20:30:00,LIMA,2.49,3.59,1.1,44.18,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,44.18,-1.11,False
2024-05-12,2026-04-29 20:30:00,LIMA,2.27,3.04,0.77,33.92,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,33.92,-1.12,False
2024-05-19,2026-04-29 20:30:00,LIMA,2.57,3.76,1.19,46.3,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,46.3,-1.04,False
2024-05-26,2026-04-29 20:30:00,LIMA,2.35,2.72,0.37,15.74,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,15.74,-1.08,False
2024-06-02,2026-04-29 20:30:00,LIMA,2.45,3.25,0.8,32.65,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,32.65,0.42,False
2024-06-09,2026-04-29 20:30:00,LIMA,2.93,4.1,1.17,39.93,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,39.93,-0.95,False
2024-06-16,2026-04-29 20:30:00,LIMA,2.26,3.03,0.77,34.07,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,34.07,-0.46,False
2024-06-23,2026-04-29 20:30:00,LIMA,2.95,3.82,0.87,29.49,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,29.49,1.19,False
2024-06-30,2026-04-29 20:30:00,LIMA,2.89,3.82,0.93,32.18,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,32.18,-0.08,False
2024-07-07,2026-04-29 20:30:00,LIMA,2.03,2.74,0.71,34.98,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,34.98,0.5,False
2024-07-14,2026-04-29 20:30:00,LIMA,1.88,2.74,0.86,45.74,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,45.74,-0.98,False
2024-07-21,2026-04-29 20:30:00,LIMA,1.92,2.75,0.83,43.23,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,43.23,-0.92,False
2024-07-28,2026-04-29 20:30:00,LIMA,1.82,2.93,1.11,60.99,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,60.99,-1.38,False
2024-08-04,2026-04-29 20:30:00,LIMA,1.91,2.25,0.34,17.8,Cebolla,CEBOLLA CABEZA BLANCA,manual_upload,17.8,-0.99,False
